Lothlorien	767 Advanced Flight Sim	767AFS	c	19	Disc118b	s	n	I
Advent Intl	8 Pyramid Of Doom	DOOM	c	19	DISC094b	z	n	N
LDL sw	8-Teen?#STD	8TLDR	C	19	Disc175a	G	N	W
Advent Intl	9 GhostTown	ADVENT	c	19	DISC095a	a	n	Q
self Pub.	9-Letter Anagrams	9LETANA	C	19	Disc171b	G	N	L
Acorn Computing	A Day At The Races	RACES1	c	19	Disc121b	s	n	X
LDL sw	A-Maze-ing	SQUARE	c	19	DISC086b	g	n	^
Bevan Tech	Aabatron	aabatro	c	19	Disc029a	g	n	H
Gemini	AAccordion (TG)	ACCNINS	C	19	Disc166b	G	N	C
Elk Adventure Club	Abandoned world	star	C	19	STH014	G	N	F
Self Pub.	ABC Puzzle	ALPHABE	c	19	Disc113b	s	n	I
W-Games	ABOMINABLE SNOWMEN	SNOW-3	C	E	STH022	A	N	E
CCS	Abyss	abyss	c	19	Disc050a	g	n	C
Oasis 	Aces High	ACES	c	19	DISC107a	s	n	G
Beebug	Aces High	ACESHI	c	19	Disc118b	s	n	V
Acornsoft	ACHETON	ACHETON	C	19	STH008	G	Y	B
Firebird	Acid Drops	acid1	c	19	Disc019a	g	y	Y
soft joes sortware	Acnean Mutoids	MUTINST	C	19	Disc179a	G	N	J
CSL	ACORN ADVENTURE	ACORNAD	C	19	STH011	A	N	M
Retro power	Acorn Island	RETRO	C	19	Disc172b	G	N	R
Granada	Across The Ravine	ATR-INS	c	19	Disc142b	g	n	N
Database	Advent Anthology	CRAAL	c	19	DISC100a	a	n	\
A&B	ADVENT SCAPE GENERATOR	MENU	C	19	STH007	A	N	V
Acorn User	Adventure	ABUSER	c	19	DISC095a	a	n	A
Acorn User	Adventure	advent1	c	19	Disc064b	a	n	Z
Micro Power	ADVENTURE	ADVENTR	C	11	STH024	A	N	E
Micro Power	Adventure	ADVENTU	c	19	DISC092a	a	n	E
Advent Intl	Adventure 5	COUNT	c	19	DISC093a	a	n	X
Level 9	Adventure Quest	ALADIN1	c	19	DISC096a	a	n	\
A&B	ADVENTURESCAPE ADVENTURES	MENU	C	19	STH005	A	N	B
A&B	ADVENTURESOFT ADVENTURES	MENU	C	19	STH006	A	N	T
inufuto	Aerial	AERI-IN	C	19	Disc169b	G	N	B
JJF PD	Aeronautical Dogfight 2#2	AD2/1	c	19	Disc125a	g	n	S
JJF PD	Aeronautical Dogfight#2 	AD1-1	c	19	Disc124a	g	n	W
Acorn Programs	Air Attack	airatta	c	19	Disc059b	u	n	C
Acorn Programs	Air Raid	airraid	c	19	Disc055a	g	n	C
Practical Comp.	Air Raid 	AIRRAID	c	19	AltD012b	g	n	J
ELBUG	Air Raid#E	AIRRAID	C	19	Disc175b	G	N	D
Your Comp.	Air Sea Battle	BATTLE	c	19	Disc129b	g	n	N
C&VG	Air Strike	AIRSTRI	c	19	Disc116a	g	n	_
Microdata	Air Traffic Control Sim	ATC	c	19	Disc124a	s	n	M
Microdeal	Air-Traffic Control Sim	ATC	c	19	DISC089b	s	n	T
Unknown	Airblock	airpass	C	19	Disc152b	G	N	P
Soft Hits	Airbrush	airbrsh	c	19	Disc053b	g	n	_
What Micro	Airbrush	PAINTER	c	19	AltD012b	g	n	O
personal CW	Aircraft Landing Simulator	LandER	c	19	Disc120b	s	n	Z
Superior 	Airlift	airlift	c	19	Disc007b	g	n	D
Bug-Byte	Airlift	airlift	c	19	DISC107b	g	y	N
CCS	Airline	AIRLINE	c	19	DISC087b	g	n	C
Elite	Airwolf	wolf	c	19	Disc027a	g	n	Y
SW Lucas	Aladdin	ALADIN1	c	19	DISC096a	a	n	\
Bug-Byte	Alien	ALIEN	c	19	Disc128b	g	n	P
Beebug	Alien	MENU	c	19	DISC090a	g	n	I
Acorn Computing	Alien 32	load32	c	19	DISC081a	g	n	^
Ultimate	Alien 8	alien	c	19	Disc013a	g		_
Ultimate	Alien 8 -Alt	ALIEN-8	c	19	AltD009b	g	n	C
ASP	Alien Attack	ALIEN	c	19	Disc137a	g	n	B
